service_id,name,aliases,price_rm,duration_min,category,notes,description
svc_cut_senior_stylist,Haircut (Senior Stylist),haircut;cut rambut;potong rambut;wash blow finish,76,45,haircut,Includes wash & blow,"Haircut (Senior Stylist) (svc_cut_senior_stylist) is a haircut service priced at RM76 with a typical duration of about 45 minutes. Also known as: haircut, cut rambut, potong rambut, wash blow finish. Notes: Includes wash & blow."
svc_cut_director,Haircut (Director),director cut;haircut director,98,50,haircut,Includes wash & blow,"Haircut (Director) (svc_cut_director) is a haircut service priced at RM98 with a typical duration of about 50 minutes. Also known as: director cut, haircut director. Notes: Includes wash & blow."
svc_cut_senior_director,Haircut (Senior Director),senior director cut;haircut senior director,138,55,haircut,Includes wash & blow,"Haircut (Senior Director) (svc_cut_senior_director) is a haircut service priced at RM138 with a typical duration of about 55 minutes. Also known as: senior director cut, haircut senior director. Notes: Includes wash & blow."
svc_cut_exec_director,Haircut (Executive Director),executive director cut,168,60,haircut,Includes wash & blow,Haircut (Executive Director) (svc_cut_exec_director) is a haircut service priced at RM168 with a typical duration of about 60 minutes. Also known as: executive director cut. Notes: Includes wash & blow.
svc_cut_creative_director,Haircut (Creative Director),creative director cut,188,60,haircut,Includes wash & blow,Haircut (Creative Director) (svc_cut_creative_director) is a haircut service priced at RM188 with a typical duration of about 60 minutes. Also known as: creative director cut. Notes: Includes wash & blow.
svc_cut_children_13_19,Haircut (Children 13â€“19),teen cut;pelajar;remaja,-30,45,haircut_discount,30% OFF from selected stylist tiers,"Haircut (Children 13â€“19) (svc_cut_children_13_19) is a haircut discount service priced at RM-30 with a typical duration of about 45 minutes. Also known as: teen cut, pelajar, remaja. Notes: 30% OFF from selected stylist tiers."
svc_cut_children_0_12,Haircut (Children 0â€“12),kid cut;kanak-kanak,-50,30,haircut_discount,50% OFF from selected stylist tiers,"Haircut (Children 0â€“12) (svc_cut_children_0_12) is a haircut discount service priced at RM-50 with a typical duration of about 30 minutes. Also known as: kid cut, kanak-kanak. Notes: 50% OFF from selected stylist tiers."
svc_fringe_cut,Fringe Cut,trim fringe;cut bang;potong poni,10,10,haircut,RM10 (with spending in 6 months) / RM20 (without),"Fringe Cut (svc_fringe_cut) is a haircut service priced at RM10 with a typical duration of about 10 minutes. Also known as: trim fringe, cut bang, potong poni. Notes: RM10 (with spending in 6 months) / RM20 (without)."
svc_wash_blow_short,Wash & Blow (Shortâ€”Up to collarbone),wash and blow;cuci & blow;blowdry pendek,55,30,styling,,"Wash & Blow (Shortâ€”Up to collarbone) (svc_wash_blow_short) is a styling service priced at RM55 with a typical duration of about 30 minutes. Also known as: wash and blow, cuci & blow, blowdry pendek."
svc_wash_blow_long,Wash & Blow (Longâ€”Collarbone & below),wash blow long;cuci & blow panjang,65,40,styling,,"Wash & Blow (Longâ€”Collarbone & below) (svc_wash_blow_long) is a styling service priced at RM65 with a typical duration of about 40 minutes. Also known as: wash blow long, cuci & blow panjang."
add_straight_iron_curl,Straight Iron + Curl Iron (Add-on),iron;curl;catok,15,15,add_on,Add-on for styling,"Straight Iron + Curl Iron (Add-on) (add_straight_iron_curl) is a add on service priced at RM15 with a typical duration of about 15 minutes. Also known as: iron, curl, catok. Notes: Add-on for styling."
add_silky_straight,Silky Straight Hairstyle (Add-on),silky straight,20,20,add_on,Add-on for styling,Silky Straight Hairstyle (Add-on) (add_silky_straight) is a add on service priced at RM20 with a typical duration of about 20 minutes. Also known as: silky straight. Notes: Add-on for styling.
add_ext_blow_straight,Extensions Hair & Blow Straight (Add-on),extension blow straight,15,15,add_on,Add-on for styling,Extensions Hair & Blow Straight (Add-on) (add_ext_blow_straight) is a add on service priced at RM15 with a typical duration of about 15 minutes. Also known as: extension blow straight. Notes: Add-on for styling.
add_ext_curl_iron,Extensions Hair & Curl Iron (Add-on),extension curl iron,20,20,add_on,Add-on for styling,Extensions Hair & Curl Iron (Add-on) (add_ext_curl_iron) is a add on service priced at RM20 with a typical duration of about 20 minutes. Also known as: extension curl iron. Notes: Add-on for styling.
add_blowout_curls,Blowout with Curls (Add-on),blowout curls,20,20,add_on,Add-on for styling,Blowout with Curls (Add-on) (add_blowout_curls) is a add on service priced at RM20 with a typical duration of about 20 minutes. Also known as: blowout curls. Notes: Add-on for styling.
add_extra_long_waist,Extra Long Hair (Waist Level) (Add-on),extra long add;EL add,10,0,add_on,Additional charge for waist length,"Extra Long Hair (Waist Level) (Add-on) (add_extra_long_waist) is a add on service priced at RM10 with a typical duration of about 0 minutes. Also known as: extra long add, EL add. Notes: Additional charge for waist length."
svc_hairstyling_setup,Hairstyling & Setup,event styling;updo,120,60,styling,From RM120,"Hairstyling & Setup (svc_hairstyling_setup) is a styling service priced at RM120 with a typical duration of about 60 minutes. Also known as: event styling, updo. Notes: From RM120."
svc_touchup_s,Touch Up (Short),touch up S;akar pendek,168,75,coloring,Plant-based color (P) RM178,"Touch Up (Short) (svc_touchup_s) is a coloring service priced at RM168 with a typical duration of about 75 minutes. Also known as: touch up S, akar pendek. Notes: Plant-based color (P) RM178."
svc_touchup_m,Touch Up (Medium),touch up M;akar sederhana,188,90,coloring,Plant-based color (P) RM198,"Touch Up (Medium) (svc_touchup_m) is a coloring service priced at RM188 with a typical duration of about 90 minutes. Also known as: touch up M, akar sederhana. Notes: Plant-based color (P) RM198."
svc_touchup_l,Touch Up (Long),touch up L;akar panjang,218,105,coloring,Plant-based color (P) RM218,"Touch Up (Long) (svc_touchup_l) is a coloring service priced at RM218 with a typical duration of about 105 minutes. Also known as: touch up L, akar panjang. Notes: Plant-based color (P) RM218."
svc_color_short,Coloring (Short),dye short;warna pendek,248,90,coloring,(P) same price listed,"Coloring (Short) (svc_color_short) is a coloring service priced at RM248 with a typical duration of about 90 minutes. Also known as: dye short, warna pendek. Notes: (P) same price listed."
svc_color_medium,Coloring (Medium),dye medium;warna sederhana,298,105,coloring,(P) same price listed,"Coloring (Medium) (svc_color_medium) is a coloring service priced at RM298 with a typical duration of about 105 minutes. Also known as: dye medium, warna sederhana. Notes: (P) same price listed."
svc_color_long,Coloring (Long),dye long;warna panjang,348,120,coloring,(P) same price listed,"Coloring (Long) (svc_color_long) is a coloring service priced at RM348 with a typical duration of about 120 minutes. Also known as: dye long, warna panjang. Notes: (P) same price listed."
svc_color_xlong,Coloring (Extra Long),dye EL;warna extra panjang,398,135,coloring,(P) same price listed,"Coloring (Extra Long) (svc_color_xlong) is a coloring service priced at RM398 with a typical duration of about 135 minutes. Also known as: dye EL, warna extra panjang. Notes: (P) same price listed."
svc_highlights_consult,"Highlights (by consultation, from RM188)",balayage;babylights;highlight,188,120,coloring,Price varies by length/technique,"Highlights (by consultation, from RM188) (svc_highlights_consult) is a coloring service priced at RM188 with a typical duration of about 120 minutes. Also known as: balayage, babylights, highlight. Notes: Price varies by length/technique."
svc_special_color_consult,Special Color (Ombre/Dip Dye/Balayage),special colour;ombre;dip dye;balayage,0,15,coloring_consult,By consultation,"Special Color (Ombre/Dip Dye/Balayage) (svc_special_color_consult) is a coloring consult service priced at RM0 with a typical duration of about 15 minutes. Also known as: special colour, ombre, dip dye, balayage. Notes: By consultation."
add_bleaching_per_length,Bleaching (Add-on per length),bleach;bleaching,40,60,add_on,Additional RM40 per length on top of color prices,"Bleaching (Add-on per length) (add_bleaching_per_length) is a add on service priced at RM40 with a typical duration of about 60 minutes. Also known as: bleach, bleaching. Notes: Additional RM40 per length on top of color prices."
svc_cold_perm_s,Cold Perm (Short),cold perm S;perm pendek,268,120,texture,,"Cold Perm (Short) (svc_cold_perm_s) is a texture service priced at RM268 with a typical duration of about 120 minutes. Also known as: cold perm S, perm pendek."
svc_cold_perm_m,Cold Perm (Medium),cold perm M;perm medium,288,135,texture,,"Cold Perm (Medium) (svc_cold_perm_m) is a texture service priced at RM288 with a typical duration of about 135 minutes. Also known as: cold perm M, perm medium."
svc_cold_perm_l,Cold Perm (Long),cold perm L;perm panjang,318,150,texture,,"Cold Perm (Long) (svc_cold_perm_l) is a texture service priced at RM318 with a typical duration of about 150 minutes. Also known as: cold perm L, perm panjang."
svc_cold_perm_el,Cold Perm (Extra Long),cold perm EL;perm extra panjang,368,165,texture,,"Cold Perm (Extra Long) (svc_cold_perm_el) is a texture service priced at RM368 with a typical duration of about 165 minutes. Also known as: cold perm EL, perm extra panjang."
svc_digital_perm,Digital Perm,perm digital,468,170,texture,,Digital Perm (svc_digital_perm) is a texture service priced at RM468 with a typical duration of about 170 minutes. Also known as: perm digital.
svc_root_perm,Root Perm,perm akar,188,90,texture,,Root Perm (svc_root_perm) is a texture service priced at RM188 with a typical duration of about 90 minutes. Also known as: perm akar.
svc_down_perm_part,Down Perm â€“ Part,down perm part,68,40,texture,,Down Perm â€“ Part (svc_down_perm_part) is a texture service priced at RM68 with a typical duration of about 40 minutes. Also known as: down perm part.
svc_down_perm_full,Down Perm â€“ Full,down perm full,128,60,texture,,Down Perm â€“ Full (svc_down_perm_full) is a texture service priced at RM128 with a typical duration of about 60 minutes. Also known as: down perm full.
svc_fringe_perm,Fringe Perm,perm fringe;perm poni,128,45,texture,,"Fringe Perm (svc_fringe_perm) is a texture service priced at RM128 with a typical duration of about 45 minutes. Also known as: perm fringe, perm poni."
svc_fringe_perm_wb,Fringe Perm (Wash/Blow Included),fringe perm w/b,198,60,texture,Includes wash & blow,Fringe Perm (Wash/Blow Included) (svc_fringe_perm_wb) is a texture service priced at RM198 with a typical duration of about 60 minutes. Also known as: fringe perm w/b. Notes: Includes wash & blow.
svc_special_perm_consult,Special Perm (by consultation),special perm,0,15,texture_consult,By consultation,Special Perm (by consultation) (svc_special_perm_consult) is a texture consult service priced at RM0 with a typical duration of about 15 minutes. Also known as: special perm. Notes: By consultation.
svc_tokio_frizz_s,Tokio Inkarami Frizz Control (Short),tokio frizz S,598,150,treatment_texture,,Tokio Inkarami Frizz Control (Short) (svc_tokio_frizz_s) is a treatment texture service priced at RM598 with a typical duration of about 150 minutes. Also known as: tokio frizz S.
svc_tokio_frizz_m,Tokio Inkarami Frizz Control (Medium),tokio frizz M,658,165,treatment_texture,,Tokio Inkarami Frizz Control (Medium) (svc_tokio_frizz_m) is a treatment texture service priced at RM658 with a typical duration of about 165 minutes. Also known as: tokio frizz M.
svc_tokio_frizz_l,Tokio Inkarami Frizz Control (Long),tokio frizz L,708,180,treatment_texture,,Tokio Inkarami Frizz Control (Long) (svc_tokio_frizz_l) is a treatment texture service priced at RM708 with a typical duration of about 180 minutes. Also known as: tokio frizz L.
svc_fringe_rebond,Fringe Rebonding,rebond fringe,128,60,texture,,Fringe Rebonding (svc_fringe_rebond) is a texture service priced at RM128 with a typical duration of about 60 minutes. Also known as: rebond fringe.
svc_rebond_touchup_m,Rebonding Touch Up (Medium),rebond touch up M,348,120,texture,,Rebonding Touch Up (Medium) (svc_rebond_touchup_m) is a texture service priced at RM348 with a typical duration of about 120 minutes. Also known as: rebond touch up M.
svc_rebond_touchup_l,Rebonding Touch Up (Long),rebond touch up L,408,135,texture,,Rebonding Touch Up (Long) (svc_rebond_touchup_l) is a texture service priced at RM408 with a typical duration of about 135 minutes. Also known as: rebond touch up L.
svc_rebond_s,Rebonding (Short),rebonding S;meluruskan pendek,468,150,texture,,"Rebonding (Short) (svc_rebond_s) is a texture service priced at RM468 with a typical duration of about 150 minutes. Also known as: rebonding S, meluruskan pendek."
svc_rebond_m,Rebonding (Medium),rebonding M;meluruskan sederhana,528,165,texture,,"Rebonding (Medium) (svc_rebond_m) is a texture service priced at RM528 with a typical duration of about 165 minutes. Also known as: rebonding M, meluruskan sederhana."
svc_rebond_l,Rebonding (Long),rebonding L;meluruskan panjang,578,180,texture,,"Rebonding (Long) (svc_rebond_l) is a texture service priced at RM578 with a typical duration of about 180 minutes. Also known as: rebonding L, meluruskan panjang."
svc_headspa_tokio,Tokio Inkarami Head Spa,head spa;spa rambut,388,60,spa,,"Tokio Inkarami Head Spa (svc_headspa_tokio) is a spa service priced at RM388 with a typical duration of about 60 minutes. Also known as: head spa, spa rambut."
svc_headspa_aveda,Aveda Botanical Scalp (branch-specific),aveda scalp;botanical scalp,388,60,spa,Branch availability may vary,"Aveda Botanical Scalp (branch-specific) (svc_headspa_aveda) is a spa service priced at RM388 with a typical duration of about 60 minutes. Also known as: aveda scalp, botanical scalp. Notes: Branch availability may vary."
svc_headspa_milbon,Global Milbon Head Spa (branch-specific),milbon head spa,388,60,spa,Branch availability may vary,Global Milbon Head Spa (branch-specific) (svc_headspa_milbon) is a spa service priced at RM388 with a typical duration of about 60 minutes. Also known as: milbon head spa. Notes: Branch availability may vary.
svc_treat_pjoli_hydrating,PJOLI Hydrating Treatment,hydrating treatment,198,60,treatment,Selected branches only,PJOLI Hydrating Treatment (svc_treat_pjoli_hydrating) is a treatment service priced at RM198 with a typical duration of about 60 minutes. Also known as: hydrating treatment. Notes: Selected branches only.
svc_treat_advante,Advante Treatment,advante,218,60,treatment,,Advante Treatment (svc_treat_advante) is a treatment service priced at RM218 with a typical duration of about 60 minutes. Also known as: advante.
svc_treat_ultra_sonic,Ultra Sonic Treatment,ultrasonic treatment,318,75,treatment,,Ultra Sonic Treatment (svc_treat_ultra_sonic) is a treatment service priced at RM318 with a typical duration of about 75 minutes. Also known as: ultrasonic treatment.
add_olaplex,Olaplex (Add-on Service),olaplex add on,98,0,add_on,Add-on to coloring/bleach,Olaplex (Add-on Service) (add_olaplex) is a add on service priced at RM98 with a typical duration of about 0 minutes. Also known as: olaplex add on. Notes: Add-on to coloring/bleach.
svc_treat_tokio,Tokio Inkarami Treatment,tokio inkarami treatment,368,75,treatment,,Tokio Inkarami Treatment (svc_treat_tokio) is a treatment service priced at RM368 with a typical duration of about 75 minutes. Also known as: tokio inkarami treatment.
svc_treat_tokio_limited,Tokio Inkarami Limited,tokio limited,468,90,treatment,,Tokio Inkarami Limited (svc_treat_tokio_limited) is a treatment service priced at RM468 with a typical duration of about 90 minutes. Also known as: tokio limited.
svc_treat_milbon_smooth,Global Milbon Smooth Treatment,milbon smooth,228,60,treatment,Branch-specific,Global Milbon Smooth Treatment (svc_treat_milbon_smooth) is a treatment service priced at RM228 with a typical duration of about 60 minutes. Also known as: milbon smooth. Notes: Branch-specific.
svc_treat_milbon_color_preserve,Global Milbon Color Preserve Treatment,milbon color preserve,288,60,treatment,Branch-specific,Global Milbon Color Preserve Treatment (svc_treat_milbon_color_preserve) is a treatment service priced at RM288 with a typical duration of about 60 minutes. Also known as: milbon color preserve. Notes: Branch-specific.
svc_treat_milbon_repair,Global Milbon Repair Treatment,milbon repair,328,75,treatment,Branch-specific,Global Milbon Repair Treatment (svc_treat_milbon_repair) is a treatment service priced at RM328 with a typical duration of about 75 minutes. Also known as: milbon repair. Notes: Branch-specific.
svc_keratin_s,Keratin Treatment (Short),keratin short;kamishitsukaizen S,368,120,treatment,,"Keratin Treatment (Short) (svc_keratin_s) is a treatment service priced at RM368 with a typical duration of about 120 minutes. Also known as: keratin short, kamishitsukaizen S."
svc_keratin_m,Keratin Treatment (Medium),keratin medium;kamishitsukaizen M,468,135,treatment,,"Keratin Treatment (Medium) (svc_keratin_m) is a treatment service priced at RM468 with a typical duration of about 135 minutes. Also known as: keratin medium, kamishitsukaizen M."
svc_keratin_l,Keratin Treatment (Long),keratin long;kamishitsukaizen L,618,150,treatment,,"Keratin Treatment (Long) (svc_keratin_l) is a treatment service priced at RM618 with a typical duration of about 150 minutes. Also known as: keratin long, kamishitsukaizen L."
svc_keratin_el,Keratin Treatment (Extra Long),keratin EL;kamishitsukaizen EL,818,165,treatment,,"Keratin Treatment (Extra Long) (svc_keratin_el) is a treatment service priced at RM818 with a typical duration of about 165 minutes. Also known as: keratin EL, kamishitsukaizen EL."
svc_scalp_shiseido_fuente,Shiseido Sublimic Fuente Forte with Tansan,fuente forte;scalp care shiseido,198,60,scalp,,"Shiseido Sublimic Fuente Forte with Tansan (svc_scalp_shiseido_fuente) is a scalp service priced at RM198 with a typical duration of about 60 minutes. Also known as: fuente forte, scalp care shiseido."
svc_scalp_shiseido_adeno,Shiseido Adenovital Scalp,adenovital scalp;shiseido scalp,288,60,scalp,,"Shiseido Adenovital Scalp (svc_scalp_shiseido_adeno) is a scalp service priced at RM288 with a typical duration of about 60 minutes. Also known as: adenovital scalp, shiseido scalp."
svc_scalp_tansan_wash,Tansan Sparkling Hair Wash,tansan wash;sparkling wash,68,20,scalp,,"Tansan Sparkling Hair Wash (svc_scalp_tansan_wash) is a scalp service priced at RM68 with a typical duration of about 20 minutes. Also known as: tansan wash, sparkling wash."
